,Track,Job Role,TSC,Minimum Level
0,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Agile Coaching,Level 6
1,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Budgeting,Level 5
2,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Agility,Level 5
3,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Environment Analysis,Level 5
4,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Innovation,Level 5
5,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Needs Analysis,Level 5
6,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Performance Management,Level 5
7,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Process Re-engineering,Level 5
8,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Requirements Mapping,Level 5
9,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Business Risk Management,Level 5
10,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Change Management,Level 5
11,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Contract Management,Level 5
12,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Data Analytics,Level 5
13,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Data Visualisation,Level 5
14,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Design Thinking Practice,Level 5
15,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Emerging Technology Synthesis,Level 5
16,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Learning and Development,Level 6
17,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Manpower Planning,Level 5
18,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Networking,Level 5
19,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Organisational Analysis,Level 5
20,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Organisational Design,Level 5
21,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Partnership Management,Level 5
22,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,People and Performance Management,Level 5
23,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Portfolio Management,Level 5
24,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Process Improvement and Optimisation,Level 5
25,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Project Management,Level 6
26,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Solution Architecture,Level 5
27,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Stakeholder Management ,Level 5
28,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Strategy Implementation,Level 4
29,Map_Top_5_CCS/1. Strategy and Governance/,Program Director,Strategy Planning,Level 5
30,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Brand Management,Level 4
31,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Budgeting,Level 4
32,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Innovation,Level 4
33,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Needs Analysis,Level 4
34,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Performance Management,Level 3
35,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Business Requirements Mapping,Level 4
36,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Customer Experience Management,Level 3
37,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Design Thinking Practice,Level 3
38,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Market Research,Level 3
39,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Networking,Level 3
40,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Process Improvement and Optimisation,Level 4
41,Map_Top_5_CCS/1. Strategy and Governance/,UX Designer,Product Management,Level 4
